x,operator,y,=,z
83,*,43,=,3569
55,+,70,=,125
16,/,16,=,1
68,/,4,=,17
15,-,67,=,-52
3,*,94,=,282
26,/,26,=,1
96,+,85,=,181
84,-,6,=,78
97,/,97,=,1
88,/,1,=,88
100,-,97,=,3
65,/,65,=,1
26,+,17,=,43
53,-,85,=,-32
51,*,32,=,1632
12,-,10,=,2
7,/,7,=,1
48,/,3,=,16
69,-,22,=,47
3,-,13,=,-10
39,-,78,=,-39
91,/,13,=,7
55,*,10,=,550
64,+,47,=,111
3,-,12,=,-9
79,*,52,=,4108
88,*,90,=,7920
92,+,58,=,150
67,*,58,=,3886
8,+,27,=,35
91,-,11,=,80
55,+,4,=,59
24,/,3,=,8
30,/,15,=,2
1,/,1,=,1
98,+,76,=,174
97,/,97,=,1
70,/,14,=,5
74,/,1,=,74
25,/,1,=,25
39,*,63,=,2457
43,+,55,=,98
50,-,79,=,-29
21,+,51,=,72
47,-,93,=,-46
40,-,69,=,-29
17,*,31,=,527
17,-,58,=,-41
38,+,25,=,63
66,+,5,=,71
34,*,2,=,68
71,/,1,=,71
28,+,35,=,63
75,/,75,=,1
18,+,16,=,34
78,+,44,=,122
65,/,5,=,13
73,*,12,=,876
88,-,53,=,35
29,+,63,=,92
39,*,75,=,2925
23,-,18,=,5
98,+,24,=,122
57,+,33,=,90
79,+,94,=,173
75,*,21,=,1575
88,*,14,=,1232
85,*,14,=,1190
88,/,88,=,1
82,+,5,=,87
77,+,77,=,154
1,*,10,=,10
11,+,6,=,17
62,+,10,=,72
19,*,2,=,38
79,-,9,=,70
96,+,14,=,110
45,/,9,=,5
69,-,50,=,19
14,-,66,=,-52
48,*,80,=,3840
75,*,68,=,5100
75,*,81,=,6075
72,/,8,=,9
28,/,1,=,28
39,-,40,=,-1
86,+,95,=,181
2,+,8,=,10
86,-,83,=,3
72,/,36,=,2
86,-,52,=,34
70,*,30,=,2100
74,*,27,=,1998
79,*,7,=,553
21,-,83,=,-62
69,*,38,=,2622
4,/,1,=,4
4,-,65,=,-61
93,+,14,=,107
61,*,5,=,305
41,-,54,=,-13
37,+,33,=,70
54,*,4,=,216
68,+,56,=,124
36,/,3,=,12
51,+,48,=,99
93,*,87,=,8091
47,-,36,=,11
25,/,5,=,5
66,-,30,=,36
67,/,1,=,67
6,+,32,=,38
81,/,9,=,9
72,+,88,=,160
81,/,27,=,3
73,-,71,=,2
45,*,84,=,3780
80,-,81,=,-1
1,/,1,=,1
69,*,60,=,4140
27,*,4,=,108
6,+,28,=,34
20,*,40,=,800
27,*,99,=,2673
22,+,86,=,108
90,*,81,=,7290
20,-,14,=,6
59,-,24,=,35
23,-,14,=,9
92,+,14,=,106
23,*,71,=,1633
25,-,98,=,-73
12,*,96,=,1152
6,*,98,=,588
72,/,9,=,8
7,*,39,=,273
46,-,77,=,-31
17,-,11,=,6
91,/,13,=,7
62,+,25,=,87
33,/,3,=,11
56,-,99,=,-43
4,/,2,=,2
88,+,85,=,173
24,+,44,=,68
18,*,32,=,576
96,+,23,=,119
7,*,11,=,77
44,*,4,=,176
35,/,7,=,5
88,*,81,=,7128
31,+,39,=,70
35,/,5,=,7
93,-,94,=,-1
100,+,93,=,193
53,+,18,=,71
81,+,5,=,86
5,*,15,=,75
39,-,45,=,-6
87,/,3,=,29
51,-,90,=,-39
16,*,10,=,160
19,-,34,=,-15
21,-,94,=,-73
65,*,62,=,4030
65,*,13,=,845
94,-,96,=,-2
68,*,69,=,4692
58,/,29,=,2
42,/,42,=,1
63,*,62,=,3906
27,+,5,=,32
7,/,1,=,7
68,/,68,=,1
64,-,6,=,58
52,/,26,=,2
94,*,17,=,1598
11,+,31,=,42
41,+,49,=,90
27,/,27,=,1
94,/,94,=,1
67,-,5,=,62
46,*,65,=,2990
17,*,2,=,34
70,+,34,=,104
25,+,53,=,78
55,*,34,=,1870
98,+,86,=,184
90,/,1,=,90
53,-,18,=,35
36,+,36,=,72
10,*,47,=,470
34,/,2,=,17
60,-,79,=,-19
28,-,100,=,-72
68,/,2,=,34
93,/,3,=,31
26,-,63,=,-37
98,+,61,=,159
1,/,1,=,1
63,-,9,=,54
86,+,64,=,150
82,-,48,=,34
52,/,52,=,1
58,*,89,=,5162
77,+,67,=,144
70,-,20,=,50
87,/,29,=,3
14,*,37,=,518
40,*,63,=,2520
66,+,64,=,130
9,*,34,=,306
72,+,43,=,115
31,+,6,=,37
27,+,28,=,55
75,*,51,=,3825
39,+,89,=,128
46,*,53,=,2438
45,-,42,=,3
56,-,87,=,-31
35,-,20,=,15
98,*,91,=,8918
95,*,60,=,5700
29,/,1,=,29
8,-,64,=,-56
42,+,89,=,131
2,+,96,=,98
53,-,72,=,-19
13,/,1,=,13
59,+,69,=,128
91,*,25,=,2275
25,-,89,=,-64
97,-,20,=,77
68,+,6,=,74
49,+,38,=,87
44,*,72,=,3168
46,*,43,=,1978
8,*,5,=,40
54,+,17,=,71
63,*,1,=,63
83,/,83,=,1
23,*,59,=,1357
57,-,79,=,-22
83,*,61,=,5063
38,/,38,=,1
51,-,92,=,-41
25,-,63,=,-38
30,*,77,=,2310
59,*,68,=,4012
36,-,50,=,-14
52,/,52,=,1
69,-,78,=,-9
21,*,61,=,1281
98,+,50,=,148
80,*,20,=,1600
54,+,88,=,142
41,/,1,=,41
96,/,16,=,6
96,-,79,=,17
37,/,37,=,1
75,-,24,=,51
19,/,19,=,1
8,+,29,=,37
22,+,83,=,105
23,/,1,=,23
8,+,53,=,61
33,*,51,=,1683
39,*,83,=,3237
17,-,85,=,-68
91,+,71,=,162
14,-,60,=,-46
54,/,27,=,2
1,/,1,=,1
87,+,96,=,183
92,+,58,=,150
29,*,53,=,1537
60,/,30,=,2
97,+,39,=,136
57,+,48,=,105
50,*,6,=,300
8,/,4,=,2
4,-,6,=,-2
54,-,70,=,-16
49,+,54,=,103
61,/,61,=,1
32,/,1,=,32
90,-,70,=,20
32,-,72,=,-40
63,/,21,=,3
12,/,2,=,6
19,*,80,=,1520
14,+,27,=,41
56,/,8,=,7
20,+,1,=,21
14,/,2,=,7
61,*,15,=,915
68,*,43,=,2924
91,-,79,=,12
26,*,7,=,182
51,*,69,=,3519
4,*,39,=,156
89,*,51,=,4539
69,*,67,=,4623
89,/,1,=,89
10,+,37,=,47
89,/,89,=,1
49,/,1,=,49
80,*,34,=,2720
53,+,23,=,76
77,*,37,=,2849
94,+,15,=,109
86,/,1,=,86
22,+,69,=,91
94,*,90,=,8460
34,*,21,=,714
24,+,51,=,75
5,/,1,=,5
22,*,41,=,902
19,+,92,=,111
25,*,36,=,900
20,*,63,=,1260
81,+,24,=,105
1,-,17,=,-16
31,+,51,=,82
15,+,97,=,112
61,+,32,=,93
28,*,4,=,112
21,*,23,=,483
45,+,63,=,108
2,-,83,=,-81
77,*,13,=,1001
14,/,14,=,1
97,*,71,=,6887
52,+,13,=,65
93,-,68,=,25
96,-,32,=,64
9,*,40,=,360
91,+,75,=,166
5,*,12,=,60
4,*,39,=,156
60,/,6,=,10
80,*,34,=,2720
45,+,24,=,69
65,/,13,=,5
19,+,52,=,71
25,/,1,=,25
2,*,25,=,50
88,*,46,=,4048
62,-,87,=,-25
40,-,13,=,27
12,/,1,=,12
97,-,69,=,28
13,-,29,=,-16
72,+,94,=,166
36,*,27,=,972
32,+,40,=,72
94,-,77,=,17
81,-,59,=,22
81,-,85,=,-4
69,-,31,=,38
83,/,83,=,1
79,-,37,=,42
79,/,79,=,1
52,-,51,=,1
5,/,5,=,1
70,+,90,=,160
97,/,97,=,1
83,/,83,=,1
63,*,27,=,1701
6,-,60,=,-54
79,/,79,=,1
72,+,49,=,121
96,+,13,=,109
91,/,13,=,7
61,-,3,=,58
87,-,46,=,41
36,/,36,=,1
53,-,17,=,36
25,+,100,=,125
23,/,1,=,23
60,+,5,=,65
31,*,33,=,1023
27,/,9,=,3
79,-,96,=,-17
47,+,91,=,138
25,+,73,=,98
79,*,11,=,869
25,-,50,=,-25
80,-,76,=,4
94,*,55,=,5170
87,-,61,=,26
19,/,1,=,19
42,*,32,=,1344
33,-,24,=,9
71,+,54,=,125
54,-,40,=,14
50,/,1,=,50
54,+,93,=,147
82,-,27,=,55
74,+,25,=,99
6,-,62,=,-56
5,-,56,=,-51
61,-,74,=,-13
9,*,67,=,603
31,/,1,=,31
26,*,37,=,962
24,+,17,=,41
97,/,97,=,1
24,/,4,=,6
22,+,29,=,51
10,*,59,=,590
66,+,54,=,120
96,-,58,=,38
9,+,99,=,108
79,+,9,=,88
57,*,91,=,5187
7,+,18,=,25
6,*,74,=,444
69,-,36,=,33
88,/,8,=,11
58,/,1,=,58
89,/,1,=,89
19,/,19,=,1
80,-,39,=,41
22,+,43,=,65
61,/,61,=,1
80,+,24,=,104
33,+,51,=,84
13,/,13,=,1
50,*,21,=,1050
82,*,79,=,6478
40,-,31,=,9
26,-,4,=,22
47,*,34,=,1598
65,*,35,=,2275
42,-,72,=,-30
19,/,19,=,1
33,/,1,=,33
5,-,6,=,-1
18,-,68,=,-50
90,+,89,=,179
57,/,3,=,19
4,-,94,=,-90
82,*,85,=,6970
92,/,92,=,1
53,*,38,=,2014
73,/,1,=,73
83,/,1,=,83
45,-,32,=,13
17,-,1,=,16
83,+,61,=,144
42,-,87,=,-45
53,*,38,=,2014
94,*,54,=,5076
78,+,85,=,163
77,/,1,=,77
27,/,27,=,1
25,+,44,=,69
26,*,9,=,234
26,+,64,=,90
42,/,42,=,1
14,+,56,=,70
33,/,11,=,3
58,-,94,=,-36
96,+,100,=,196
82,-,60,=,22
23,+,38,=,61
89,/,89,=,1
16,-,81,=,-65
84,+,50,=,134
3,-,76,=,-73
55,/,1,=,55
59,*,50,=,2950
87,-,79,=,8
35,/,35,=,1
85,+,99,=,184
52,/,2,=,26
29,*,16,=,464
80,+,11,=,91
29,/,29,=,1
24,-,100,=,-76
64,+,97,=,161
51,-,97,=,-46
85,*,32,=,2720
74,/,2,=,37
100,+,24,=,124
11,-,59,=,-48
88,/,44,=,2
19,-,48,=,-29
95,/,19,=,5
1,-,47,=,-46
14,*,47,=,658
10,-,25,=,-15
23,*,11,=,253
12,*,71,=,852
22,/,1,=,22
96,+,80,=,176
54,+,34,=,88
99,/,3,=,33
3,/,3,=,1
91,+,34,=,125
54,/,27,=,2
96,*,72,=,6912
74,/,37,=,2
22,+,72,=,94
65,/,1,=,65
98,*,47,=,4606
38,/,1,=,38
92,/,92,=,1
92,/,23,=,4
73,-,17,=,56
8,*,84,=,672
94,+,71,=,165
61,/,1,=,61
23,*,2,=,46
61,/,1,=,61
39,+,46,=,85
23,-,100,=,-77
89,/,89,=,1
64,*,85,=,5440
12,/,3,=,4
52,*,36,=,1872
53,+,86,=,139
98,*,19,=,1862
72,-,46,=,26
26,-,81,=,-55
28,/,14,=,2
18,/,2,=,9
18,-,30,=,-12
84,+,94,=,178
24,/,3,=,8
88,+,61,=,149
13,*,8,=,104
72,+,43,=,115
36,/,9,=,4
64,+,18,=,82
18,-,100,=,-82
29,/,29,=,1
45,-,21,=,24
21,*,94,=,1974
72,*,28,=,2016
45,-,24,=,21
7,+,94,=,101
11,*,79,=,869
83,+,78,=,161
87,*,92,=,8004
59,*,92,=,5428
24,/,2,=,12
54,-,26,=,28
79,-,9,=,70
51,/,17,=,3
30,/,5,=,6
33,-,42,=,-9
52,-,43,=,9
41,-,46,=,-5
89,-,51,=,38
56,*,50,=,2800
99,*,69,=,6831
42,*,9,=,378
45,+,83,=,128
11,+,95,=,106
87,/,3,=,29
44,/,11,=,4
15,-,19,=,-4
79,-,24,=,55
31,+,19,=,50
86,+,60,=,146
94,/,1,=,94
45,+,95,=,140
23,-,53,=,-30
8,/,1,=,8
33,+,62,=,95
74,*,33,=,2442
87,/,29,=,3
3,/,3,=,1
76,*,74,=,5624
51,*,97,=,4947
53,*,75,=,3975
70,/,5,=,14
87,-,62,=,25
21,*,46,=,966
22,+,68,=,90
76,/,2,=,38
60,-,24,=,36
34,+,49,=,83
54,/,54,=,1
33,*,7,=,231
49,+,18,=,67
45,/,9,=,5
16,-,21,=,-5
78,*,32,=,2496
25,/,25,=,1
1,/,1,=,1
76,*,91,=,6916
33,-,46,=,-13
29,+,31,=,60
46,+,86,=,132
5,*,92,=,460
2,+,74,=,76
55,/,55,=,1
7,+,75,=,82
83,+,36,=,119
53,-,47,=,6
34,+,70,=,104
40,-,16,=,24
18,+,14,=,32
36,*,15,=,540
51,-,50,=,1
64,/,16,=,4
16,+,68,=,84
34,/,1,=,34
46,/,2,=,23
97,+,24,=,121
18,-,89,=,-71
11,+,77,=,88
98,+,13,=,111
20,*,71,=,1420
55,+,100,=,155
33,*,96,=,3168
95,*,93,=,8835
71,+,49,=,120
47,*,83,=,3901
48,-,65,=,-17
82,*,69,=,5658
6,*,47,=,282
91,-,34,=,57
64,/,32,=,2
1,/,1,=,1
3,-,38,=,-35
47,-,16,=,31
29,/,1,=,29
36,*,67,=,2412
72,*,5,=,360
3,/,1,=,3
42,-,88,=,-46
87,+,25,=,112
78,/,13,=,6
62,-,74,=,-12
13,*,12,=,156
70,/,35,=,2
15,-,69,=,-54
46,+,12,=,58
59,/,1,=,59
19,-,78,=,-59
57,-,35,=,22
90,*,56,=,5040
43,*,100,=,4300
21,/,7,=,3
92,/,1,=,92
27,-,46,=,-19
57,-,56,=,1
100,-,46,=,54
4,/,4,=,1
33,+,22,=,55
72,+,82,=,154
60,-,20,=,40
2,/,1,=,2
19,+,50,=,69
48,-,30,=,18
84,-,100,=,-16
80,-,1,=,79
28,+,6,=,34
16,*,24,=,384
57,/,3,=,19
11,+,18,=,29
37,*,70,=,2590
96,-,23,=,73
6,+,9,=,15
45,-,20,=,25
70,+,40,=,110
62,-,76,=,-14
87,-,9,=,78
3,-,42,=,-39
47,*,76,=,3572
83,+,11,=,94
61,*,56,=,3416
99,/,1,=,99
12,*,70,=,840
22,*,87,=,1914
88,*,81,=,7128
38,-,69,=,-31
81,+,74,=,155
76,+,42,=,118
51,*,15,=,765
44,/,11,=,4
40,-,89,=,-49
95,+,32,=,127
21,-,58,=,-37
9,*,51,=,459
96,*,27,=,2592
45,/,15,=,3
66,*,30,=,1980
12,+,90,=,102
17,+,74,=,91
89,-,86,=,3
27,+,23,=,50
8,+,77,=,85
56,-,61,=,-5
89,-,10,=,79
61,*,4,=,244
11,+,58,=,69
71,-,67,=,4
88,*,17,=,1496
99,/,9,=,11
60,*,81,=,4860
15,/,1,=,15
76,-,35,=,41
70,+,96,=,166
66,/,6,=,11
98,*,94,=,9212
60,/,2,=,30
13,/,13,=,1
36,+,52,=,88
22,-,35,=,-13
77,*,57,=,4389
84,-,9,=,75
1,*,55,=,55
54,+,29,=,83
55,+,13,=,68
42,/,2,=,21
76,+,100,=,176
76,*,35,=,2660
99,*,50,=,4950
92,/,1,=,92
54,*,12,=,648
20,*,58,=,1160
36,+,20,=,56
59,*,64,=,3776
55,*,99,=,5445
16,*,6,=,96
70,*,13,=,910
65,/,1,=,65
2,*,52,=,104
4,+,90,=,94
37,+,79,=,116
20,+,94,=,114
34,*,95,=,3230
86,/,2,=,43
15,+,5,=,20
94,/,2,=,47
29,/,29,=,1
91,-,80,=,11
89,-,23,=,66
8,*,72,=,576
83,*,69,=,5727
52,*,38,=,1976
27,/,27,=,1
17,*,64,=,1088
63,-,17,=,46
3,+,88,=,91
53,-,23,=,30
85,*,70,=,5950
74,+,75,=,149
60,+,45,=,105
48,+,41,=,89
68,-,7,=,61
39,*,95,=,3705
42,-,9,=,33
87,-,82,=,5
67,-,3,=,64
11,/,1,=,11
14,-,49,=,-35
75,/,15,=,5
89,*,48,=,4272
72,*,24,=,1728
61,*,16,=,976
40,+,26,=,66
23,-,81,=,-58
13,/,1,=,13
34,/,2,=,17
15,+,14,=,29
6,*,63,=,378
49,+,84,=,133
27,-,19,=,8
89,+,29,=,118
21,+,80,=,101
88,+,97,=,185
53,*,20,=,1060
44,*,70,=,3080
50,-,38,=,12
42,/,42,=,1
96,+,62,=,158
21,/,1,=,21
13,+,81,=,94
62,*,14,=,868
75,/,15,=,5
51,/,3,=,17
84,/,6,=,14
51,-,24,=,27
62,-,72,=,-10
98,/,7,=,14
90,/,5,=,18
99,-,17,=,82
91,-,57,=,34
68,+,11,=,79
85,-,43,=,42
77,/,11,=,7
73,/,1,=,73
60,+,48,=,108
48,/,6,=,8
31,-,81,=,-50
55,-,41,=,14
27,+,78,=,105
35,+,86,=,121
51,+,23,=,74
85,*,57,=,4845
52,+,18,=,70
60,-,98,=,-38
68,-,27,=,41
8,*,46,=,368
78,/,6,=,13
20,-,74,=,-54
62,/,31,=,2
23,/,1,=,23
60,/,12,=,5
68,-,55,=,13
24,*,36,=,864
24,+,50,=,74
24,+,44,=,68
69,-,33,=,36
99,-,86,=,13
59,*,96,=,5664
7,/,1,=,7
49,+,76,=,125
51,+,94,=,145
37,/,1,=,37
1,/,1,=,1
71,*,36,=,2556
71,*,80,=,5680
18,*,88,=,1584
17,*,55,=,935
96,/,32,=,3
4,+,58,=,62
30,/,3,=,10
17,/,1,=,17
56,+,47,=,103
12,+,20,=,32
50,*,55,=,2750
85,/,85,=,1
35,+,59,=,94
87,/,1,=,87
58,+,1,=,59
60,+,65,=,125
24,-,98,=,-74
32,-,25,=,7
12,/,6,=,2
90,/,1,=,90
51,+,28,=,79
58,*,77,=,4466
67,*,49,=,3283
52,-,26,=,26
47,/,1,=,47
16,/,4,=,4
64,+,82,=,146
54,/,54,=,1
3,-,97,=,-94
74,-,76,=,-2
94,/,94,=,1
86,+,71,=,157
2,/,2,=,1
97,/,97,=,1
34,+,92,=,126
15,-,41,=,-26
17,/,1,=,17
90,/,45,=,2
3,/,1,=,3
77,-,98,=,-21
22,/,2,=,11
35,-,28,=,7
17,-,24,=,-7
81,-,70,=,11
10,+,39,=,49
99,*,48,=,4752
58,-,84,=,-26
55,*,2,=,110
93,/,31,=,3
75,*,1,=,75
54,-,84,=,-30
77,/,11,=,7
29,*,19,=,551
27,*,66,=,1782
63,/,1,=,63
80,/,2,=,40
19,+,24,=,43
24,-,31,=,-7
3,-,75,=,-72
69,*,93,=,6417
77,*,91,=,7007
73,/,73,=,1
4,/,1,=,4
27,/,9,=,3
95,-,7,=,88
94,*,17,=,1598
1,-,42,=,-41
21,+,56,=,77
78,+,71,=,149
39,+,94,=,133
6,/,2,=,3
69,-,35,=,34
60,/,60,=,1
99,/,3,=,33
58,+,22,=,80
80,-,40,=,40
40,/,4,=,10
44,*,95,=,4180
100,-,11,=,89
42,*,58,=,2436
36,-,56,=,-20
52,*,22,=,1144
7,/,1,=,7
38,+,96,=,134
64,+,28,=,92
35,-,8,=,27
43,-,70,=,-27
86,-,40,=,46
5,*,100,=,500
90,*,15,=,1350
74,*,86,=,6364
51,/,3,=,17
87,/,1,=,87
100,+,1,=,101
67,+,56,=,123
55,+,53,=,108
59,/,59,=,1
78,+,32,=,110
66,*,73,=,4818
45,+,1,=,46
60,/,10,=,6
27,*,60,=,1620
52,/,2,=,26
33,/,3,=,11
68,/,2,=,34
49,+,55,=,104
10,/,10,=,1
11,+,74,=,85
96,*,69,=,6624
50,-,39,=,11
32,-,41,=,-9
85,*,8,=,680
15,/,3,=,5
89,*,92,=,8188
32,-,22,=,10
91,-,94,=,-3
79,+,71,=,150
78,*,12,=,936
26,+,69,=,95
65,/,13,=,5
36,/,9,=,4
28,*,97,=,2716
31,-,44,=,-13
29,+,19,=,48
64,*,80,=,5120
76,*,48,=,3648
59,*,68,=,4012
68,*,76,=,5168
8,-,15,=,-7
16,/,16,=,1
49,+,17,=,66
73,*,99,=,7227
18,+,20,=,38
93,-,31,=,62
75,/,1,=,75
16,+,95,=,111
8,/,8,=,1
21,-,27,=,-6
76,+,9,=,85
16,/,2,=,8
54,/,6,=,9
75,+,28,=,103
67,+,14,=,81
63,*,7,=,441
62,-,5,=,57
81,/,9,=,9
75,*,74,=,5550
17,*,10,=,170
89,-,59,=,30
56,*,29,=,1624
50,*,3,=,150
95,*,32,=,3040
82,+,39,=,121
61,-,5,=,56
86,/,1,=,86
68,+,64,=,132
97,-,83,=,14
45,+,47,=,92
54,*,43,=,2322
29,+,56,=,85
93,-,76,=,17
47,/,47,=,1
96,+,41,=,137
50,*,37,=,1850
56,*,62,=,3472
9,+,44,=,53
59,+,75,=,134
99,/,9,=,11
57,*,56,=,3192
37,*,68,=,2516
35,/,7,=,5
23,/,23,=,1
93,-,20,=,73
38,/,19,=,2
93,/,93,=,1
15,/,3,=,5
68,-,78,=,-10
35,-,48,=,-13
8,+,62,=,70
44,*,7,=,308
73,-,20,=,53
94,+,11,=,105
70,/,35,=,2
19,*,67,=,1273
30,*,76,=,2280
80,-,24,=,56
50,-,60,=,-10
1,-,27,=,-26
45,-,12,=,33
32,-,92,=,-60
7,-,35,=,-28
62,*,14,=,868
84,/,21,=,4
8,-,48,=,-40
10,/,5,=,2
61,/,1,=,61
75,-,38,=,37
50,-,76,=,-26
1,/,1,=,1
6,/,3,=,2
18,*,35,=,630
85,/,1,=,85
12,+,97,=,109
34,-,54,=,-20
52,-,84,=,-32
26,*,66,=,1716
65,+,5,=,70
1,*,77,=,77
73,+,76,=,149
40,*,66,=,2640
49,/,1,=,49
55,-,87,=,-32
93,/,3,=,31
11,-,79,=,-68
15,*,88,=,1320
60,-,92,=,-32
33,+,93,=,126
67,/,1,=,67
32,+,14,=,46
10,+,72,=,82
8,/,4,=,2
25,+,21,=,46
15,/,5,=,3
36,-,58,=,-22
15,+,84,=,99
57,+,36,=,93
5,+,74,=,79
1,-,18,=,-17
35,-,52,=,-17
77,*,53,=,4081
81,*,4,=,324
83,+,55,=,138
62,*,98,=,6076
66,/,66,=,1
96,*,85,=,8160
55,/,1,=,55
78,-,98,=,-20
99,-,57,=,42
78,/,3,=,26
90,*,59,=,5310
92,-,63,=,29
80,*,79,=,6320
82,-,82,=,0
73,*,14,=,1022
44,+,89,=,133
39,-,66,=,-27
98,+,77,=,175
34,/,2,=,17
65,-,34,=,31
71,+,33,=,104
44,/,1,=,44
82,*,44,=,3608
46,*,93,=,4278
87,-,95,=,-8
19,*,25,=,475
99,+,70,=,169
7,-,100,=,-93
70,*,65,=,4550
98,*,40,=,3920
89,*,59,=,5251
93,+,75,=,168
51,+,20,=,71
3,/,3,=,1
89,/,89,=,1
16,/,8,=,2
38,/,38,=,1
65,-,98,=,-33
68,*,91,=,6188
48,-,96,=,-48
18,-,47,=,-29
82,-,26,=,56
50,-,50,=,0
66,-,95,=,-29
30,/,1,=,30
80,/,40,=,2
5,-,45,=,-40
85,-,27,=,58
38,*,96,=,3648
32,+,24,=,56
76,*,83,=,6308
50,*,16,=,800
5,/,5,=,1
29,+,40,=,69
77,/,77,=,1
88,-,69,=,19
44,-,38,=,6
16,*,8,=,128
67,-,45,=,22
35,/,5,=,7
37,+,33,=,70
63,-,52,=,11
33,-,71,=,-38
38,*,95,=,3610
57,/,1,=,57
10,/,10,=,1
74,-,97,=,-23
51,-,56,=,-5
14,/,2,=,7
2,*,37,=,74
39,/,39,=,1
72,/,1,=,72
37,+,70,=,107
77,*,46,=,3542
57,*,71,=,4047
48,*,9,=,432
3,*,67,=,201
74,*,21,=,1554
6,/,1,=,6
59,+,28,=,87
16,*,72,=,1152
56,+,58,=,114
39,-,91,=,-52
18,/,2,=,9
99,/,33,=,3
3,/,1,=,3
93,*,45,=,4185
79,*,44,=,3476
41,+,65,=,106
98,-,75,=,23
11,+,58,=,69
71,/,1,=,71
69,*,100,=,6900
75,*,94,=,7050
14,/,1,=,14
57,/,1,=,57
37,+,83,=,120
2,*,34,=,68
18,+,77,=,95
96,/,8,=,12
20,*,21,=,420
25,/,5,=,5
59,*,29,=,1711
87,+,70,=,157
7,/,7,=,1
83,*,78,=,6474
57,*,77,=,4389
70,/,10,=,7
34,*,84,=,2856
14,*,26,=,364
57,/,3,=,19
35,/,1,=,35
50,*,27,=,1350
46,*,80,=,3680
84,-,67,=,17
17,-,56,=,-39
78,/,6,=,13
70,*,93,=,6510
77,-,88,=,-11
97,-,73,=,24
90,*,50,=,4500
52,-,61,=,-9
70,*,17,=,1190
18,+,73,=,91
64,/,8,=,8
7,/,7,=,1
93,*,71,=,6603
38,*,19,=,722
2,+,69,=,71
60,/,20,=,3
44,*,97,=,4268
63,-,3,=,60
24,-,81,=,-57
19,-,72,=,-53
7,-,42,=,-35
44,*,80,=,3520
24,-,49,=,-25
37,*,67,=,2479
53,+,64,=,117
80,/,1,=,80
7,+,63,=,70
45,-,63,=,-18
63,*,86,=,5418
90,/,3,=,30
69,*,25,=,1725
25,*,2,=,50
63,+,54,=,117
73,+,32,=,105
49,*,91,=,4459
39,+,21,=,60
90,/,5,=,18
32,-,85,=,-53
10,+,84,=,94
22,*,16,=,352
72,/,3,=,24
98,+,49,=,147
53,-,47,=,6
89,*,97,=,8633
38,-,48,=,-10
53,*,84,=,4452
40,+,61,=,101
58,+,75,=,133
44,+,91,=,135
40,+,83,=,123
10,-,91,=,-81
55,/,55,=,1
7,*,46,=,322
3,+,7,=,10
90,*,35,=,3150
56,-,12,=,44
21,/,3,=,7
31,*,34,=,1054
40,*,97,=,3880
95,+,3,=,98
82,*,95,=,7790
43,-,23,=,20
35,-,98,=,-63
8,*,17,=,136
82,+,32,=,114
